Plot,Plant,Herbivore,Interaction_freq,Ab_total_herb
I6,Erica cinerae,Aristotelia ericinella,0.01,1.01
I6,Calluna vulgaris,Ematurga atomaria,3,3.03
I6,Erica cinerae,Ematurga atomaria,0.01,3.03
I6,Betula sp.,Ematurga atomaria,0.01,3.03
I6,Gaultheria shallon,Ematurga atomaria,0.01,3.03
I6,Calluna vulgaris,Epirrita christyi,1,1.01
I6,Betula sp.,Epirrita christyi,0.01,1.01
I6,Calluna vulgaris,Eupithecia nanata,3,4
I6,Erica cinerae,Eupithecia nanata,1,4
I6,Calluna vulgaris,Gymnoscelis rufifasciata,4,5.03
I6,Erica cinerae,Gymnoscelis rufifasciata,1,5.03
I6,Pteridium aquilinum,Gymnoscelis rufifasciata,0.01,5.03
I6,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,5.03
I6,Ulex europaeus,Gymnoscelis rufifasciata,0.01,5.03
I6,Calluna vulgaris,Lochmaea suturalis,208,208.01
I6,Erica cinerae,Lochmaea suturalis,0.01,208.01
I6,Calluna vulgaris,Lycophotia porphyrea,5,5.01
I6,Erica cinerae,Lycophotia porphyrea,0.01,5.01
I6,Calluna vulgaris,Neofaculta ericetella,5,5.01
I6,Erica cinerae,Neofaculta ericetella,0.01,5.01
I6,Calluna vulgaris,Noctuidae sp1,7,7.01
I6,Erica cinerae,Noctuidae sp1,0.01,7.01
I6,Calluna vulgaris,Pachycnemia hippocastanaria,11,11.01
I6,Erica cinerae,Pachycnemia hippocastanaria,0.01,11.01
I6,Calluna vulgaris,Symphita sp,1,6.01
I6,Pteridium aquilinum,Symphita sp,5,6.01
I6,Ulex minor,Symphita sp,0.01,6.01
I5,Calluna vulgaris,Anarta myrtillis,4,4.01
I5,Erica cinerae,Anarta myrtillis,0.01,4.01
I5,Calluna vulgaris,Aristotelia ericinella,1,1.01
I5,Erica cinerae,Aristotelia ericinella,0.01,1.01
I5,Calluna vulgaris,Dicallomera fascelina,1,1.01
I5,Betula sp.,Dicallomera fascelina,0.01,1.01
I5,Calluna vulgaris,Ematurga atomaria,1,1.02
I5,Erica cinerae,Ematurga atomaria,0.01,1.02
I5,Gaultheria shallon,Ematurga atomaria,0.01,1.02
I5,Calluna vulgaris,Eupithecia nanata,4,4
I5,Pteridium aquilinum,Gymnoscelis rufifasciata,1,14
I5,Calluna vulgaris,Gymnoscelis rufifasciata,12,14
I5,Erica cinerae,Gymnoscelis rufifasciata,1,14.01
I5,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,14.01
I5,Gaultheria shallon,Idaea dimidiata,1,1.01
I5,Gaultheria shallon,indsp1 13,1,10
I5,Calluna vulgaris,Lochmaea suturalis,239,239.01
I5,Erica cinerae,Lochmaea suturalis,0.01,239.01
I5,Calluna vulgaris,Lycophotia porphyrea,7,7.01
I5,Erica cinerae,Lycophotia porphyrea,0.01,7.01
I5,Calluna vulgaris,Neofaculta ericetella,6,6.01
I5,Erica cinerae,Neofaculta ericetella,0.1,6.01
I5,Calluna vulgaris,Noctuidae sp1,6,6.01
I5,Erica cinerae,Noctuidae sp1,0.01,6.01
I5,Calluna vulgaris,Pachycnemia hippocastanaria,11,13
I5,Erica cinerae,Pachycnemia hippocastanaria,2,13
I5,Pteridium aquilinum,Symphita sp,8,8.02
I5,Ulex minor,Symphita sp,0.01,8.02
I5,Calluna vulgaris,Symphita sp,0.01,8.02
I4,Pteridium aquilinum,Symphita sp,6,6.01
I4,Calluna vulgaris,Symphita sp,0.01,6.01
I4,Calluna vulgaris,Pachycnemia hippocastanaria,4,4.02
I4,Erica cinerae,Pachycnemia hippocastanaria,0.01,4.02
I4,Erica tetralix,Pachycnemia hippocastanaria,0.01,4.02
I4,Calluna vulgaris,Noctuidae sp1,3,3.01
I4,Erica cinerae,Noctuidae sp1,0.01,3.01
I4,Calluna vulgaris,Neofaculta ericetella,5,5.01
I4,Erica cinerae,Neofaculta ericetella,0.01,5.01
I4,Calluna vulgaris,Lycophotia porphyrea,5,5.01
I4,Erica cinerae,Lycophotia porphyrea,0.01,5.01
I4,Calluna vulgaris,Lochmaea suturalis,63,67.01
I4,Erica cinerae,Lochmaea suturalis,4,67.01
I4,Erica tetralix,Lochmaea suturalis,0.01,67.01
I4,Calluna vulgaris,Gymnoscelis rufifasciata,10,10.04
I4,Erica cinerae,Gymnoscelis rufifasciata,0.01,10.04
I4,Pteridium aquilinum,Gymnoscelis rufifasciata,0.01,10.04
I4,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,10.04
I4,Erica tetralix,Gymnoscelis rufifasciata,0.01,10.04
I4,Calluna vulgaris,Ematurga atomaria,4,4.04
I4,Erica tetralix,Ematurga atomaria,0.01,4.04
I4,Erica cinerae,Ematurga atomaria,0.01,4.04
I4,Betula sp.,Ematurga atomaria,0.01,4.04
I4,Gaultheria shallon,Ematurga atomaria,0.01,4.04
I4,Erica cinerae,Aristotelia ericinella,1,1.01
I4,Calluna vulgaris,Aristotelia ericinella,0.01,1.01
I4,Calluna vulgaris,Anarta myrtillis,6,6.01
I4,Erica cinerae,Anarta myrtillis,0.01,6.01
C2,Erica cinerae,Lochmaea suturalis,31,770
C2,Calluna vulgaris,Lochmaea suturalis,739,770
C2,Erica cinerae,Aristotelia ericinella,0.01,9.01
C2,Calluna vulgaris,Aristotelia ericinella,9,9.01
C2,Erica cinerae,Neofaculta ericetella,0.01,3.01
C2,Calluna vulgaris,Neofaculta ericetella,3,3.01
C2,Erica cinerae,Eupithecia nanata,2,10
C2,Calluna vulgaris,Eupithecia nanata,8,10
C2,Erica cinerae,Pachycnemia hippocastanaria,1,20
C2,Calluna vulgaris,Pachycnemia hippocastanaria,19,20
C2,Erica cinerae,Anarta myrtillis,1,10
C2,Calluna vulgaris,Anarta myrtillis,9,10
C2,Erica cinerae,Lycophotia porphyrea,0.01,8.01
C2,Calluna vulgaris,Lycophotia porphyrea,8,8.01
C2,Erica cinerae,Noctuidae sp1,1,4
C2,Calluna vulgaris,Noctuidae sp1,3,4
C2,Betula sp.,Ematurga atomaria,0.01,6.02
C2,Gaultheria shallon,Ematurga atomaria,0.01,6.02
C2,Calluna vulgaris,Ematurga atomaria,3,6.02
C2,Erica cinerae,Ematurga atomaria,3,6.02
C2,Calluna vulgaris,Eupithecia absinthiata,1,1
C2,Erica cinerae,Gymnoscelis rufifasciata,0.01,3.03
C2,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,3.03
C2,Pteridium aquilinum,Gymnoscelis rufifasciata,0.01,3.03
C2,Calluna vulgaris,Gymnoscelis rufifasciata,3,3.03
C2,Betula sp.,Dicallomera fascelina,0.01,1.01
C2,Calluna vulgaris,Dicallomera fascelina,1,1.01
I2,Pteridium aquilinum ,Lacanobia w-latinum,0.01,2.03
I2,Pteridium aquilinum ,Gymnoscelis rufifasciata,0.01,1.03
I2,Pteridium aquilinum ,Symphita sp,3,4
I2,Gaultheria shallon,Lacanobia w-latinum,2,2.03
I2,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,1.03
I2,Gaultheria shallon,Autographa gamma,2,2.01
I2,Erica cinerae,Gymnoscelis rufifasciata,0.01,1.03
I2,Erica cinerae,Neofaculta ericetella,0.01,1.01
I2,Erica cinerae,Lochmaea suturalis,0.01,31.01
I2,Calluna vulgaris,Lacanobia w-latinum,0.01,2.03
I2,Calluna vulgaris,Gymnoscelis rufifasciata,1,1.03
I2,Calluna vulgaris,Symphita sp,1,4
I2,Calluna vulgaris,Neofaculta ericetella,1,1.01
I2,Calluna vulgaris,Lochmaea suturalis,31,31.01
I2,Betula sp.,Lacanobia w-latinum,0.01,2.03
I1,Betula sp.,Ematurga atomaria,0.01,2.04
I1,Betula sp.,Dicallomera fascelina,0.01,1.03
I1,Betula sp.,Pheosia gnoma,1,1
I1,Calluna vulgaris,Phragmatobia fuliginosa,1,1.01
I1,Calluna vulgaris,Ematurga atomaria,2,2.04
I1,Calluna vulgaris,Gymnoscelis rufifasciata,4,7.03
I1,Calluna vulgaris,Dicallomera fascelina,1,1.03
I1,Calluna vulgaris,Argyrotaenia ljungiana,1,1
I1,Calluna vulgaris,Symphita sp,1,13.01
I1,Calluna vulgaris,Lochmaea suturalis,406,406.02
I1,Calluna vulgaris,Aristotelia ericinella,2,2.01
I1,Calluna vulgaris,Neofaculta ericetella,13,13.01
I1,Calluna vulgaris,Eupithecia nanata,2,2.01
I1,Calluna vulgaris,Lycophotia porphyrea,6,6.01
I1,Calluna vulgaris,Pachycnemia hippocastanaria,7,7.02
I1,Calluna vulgaris,Anarta myrtillis,9,10
I1,Calluna vulgaris,Noctuidae sp1,4,5
I1,Cytisus scoparius,Dicallomera fascelina,0.01,1.03
I1,Erica cinerae,Ematurga atomaria,0.01,2.04
I1,Erica cinerae,Gymnoscelis rufifasciata,2,7.03
I1,Erica cinerae,Lochmaea suturalis,0.01,406.02
I1,Erica cinerae,Aristotelia ericinella,0.01,2.01
I1,Erica cinerae,Neofaculta ericetella,0.01,13.01
I1,Erica cinerae,Eupithecia nanata,0.01,2.01
I1,Erica cinerae,Lycophotia porphyrea,0.01,6.01
I1,Erica cinerae,Pachycnemia hippocastanaria,0.01,7.02
I1,Erica cinerae,Anarta myrtillis,1,10
I1,Erica cinerae,Noctuidae sp1,1,5
I1,Erica tetralix,Ematurga atomaria,0.01,2.04
I1,Erica tetralix,Gymnoscelis rufifasciata,0.01,7.03
I1,Erica tetralix,Lochmaea suturalis,0.01,406.02
I1,Erica tetralix,Pachycnemia hippocastanaria,0.01,7.02
I1,Gaultheria shallon,Ematurga atomaria,0.01,2.04
I1,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,7.03
I1,Pteridium aquilinum ,Gymnoscelis rufifasciata,1,7.03
I1,Pteridium aquilinum ,Symphita sp,12,13
I1,Rubus fruticosus,Dicallomera fascelina,0.01,1.03
I1,Ulex europaeus,Gymnoscelis rufifasciata,0.01,7.03
I1,Ulex minor,Symphita sp,0.01,13.01
C5,Ulex minor,Symphita sp,0.01,7.02
C5,Pteridium aquilinum ,Symphita sp,7,7.02
C5,Pteridium aquilinum ,Gymnoscelis rufifasciata,2,3.02
C5,Gaultheria shallon,Gymnoscelis rufifasciata,0.01,3.02
C5,Gaultheria shallon,Ematurga atomaria,0.01,1.03
C5,Erica cinerae,Gymnoscelis rufifasciata,0.01,3.02
C5,Erica cinerae,Ematurga atomaria,0.01,1.03
C5,Erica cinerae,Noctuidae sp1,1,8
C5,Erica cinerae,Lycophotia porphyrea,2,11
C5,Erica cinerae,Anarta myrtillis,1,6
C5,Erica cinerae,Pachycnemia hippocastanaria,0.01,6.01
C5,Erica cinerae,Eupithecia nanata,0.01,4.01
C5,Erica cinerae,Neofaculta ericetella,0.01,10.01
C5,Erica cinerae,Aristotelia ericinella,0.01,8.01
C5,Erica cinerae,Lochmaea suturalis,0.01,1174.01
C5,Calluna vulgaris,Symphita sp,0.01,7.02
C5,Calluna vulgaris,Dicallomera fascelina,1,1.01
C5,Calluna vulgaris,Gymnoscelis rufifasciata,1,3.02
C5,Calluna vulgaris,Ematurga atomaria,1,1.03
C5,Calluna vulgaris,Noctuidae sp1,7,8
C5,Calluna vulgaris,Lycophotia porphyrea,9,11
C5,Calluna vulgaris,Anarta myrtillis,5,6
C5,Calluna vulgaris,Pachycnemia hippocastanaria,6,6.01
C5,Calluna vulgaris,Eupithecia nanata,4,4.01
C5,Calluna vulgaris,Neofaculta ericetella,10,10.01
C5,Calluna vulgaris,Aristotelia ericinella,8,8.01
C5,Calluna vulgaris,Lochmaea suturalis,1174,1174.01
C5,Betula sp.,Dicallomera fascelina,0.01,1.01
C5,Betula sp.,Ematurga atomaria,0.01,1.03
