Plot,Herbivore,Paritoid,Interaction_freq,Ab_total_par
I6,Lycophotia porphyrea,Hyposoter didymator,1,2.01
I6,Noctuidae sp1,Hyposoter didymator,1,2.01
I6,Anarta myrtillis,Hyposoter didymator,0.01,2.01
I5,Lochmaea suturalis,Asecodes mento,168,168
I5,Eupithecia nanata,Cotesia errator,1,1
I5,Noctuidae sp1,Hyposoter didymator,1,1.02
I5,Noctuidae sp1,Hyposoter didymator,0.01,1.02
I5,Anarta myrtillis,Hyposoter didymator,0.01,1.02
I5,Noctuidae sp1,Meteorus colon,2,2.01
I5,Pachycnemia hippocastanaria,Meteorus colon,0.01,2.01
I4,Ematurga atomaria,Wagneria gagatea,1,1
I4,Noctuidae sp1,Meteorus pulchricornis,1,1.01
I4,Anarta myrtillis,Meteorus pulchricornis,0.01,1.01
I4,Gymnoscelis rufifasciata,Diadegma armillata,2,2.03
I4,Aristotelia ericinella,Diadegma armillata,0.01,2.03
I4,Neofaculta ericetella,Diadegma armillata,0.01,2.03
I4,Noctuidae sp1,Diadegma armillata,0.01,2.03
I4,Anarta myrtillis,Campylocheta inepta,1,1.03
I4,Ematurga atomaria,Campylocheta inepta,0.01,1.03
I4,Neofaculta ericetella,Campylocheta inepta,0.01,1.03
I4,Noctuidae sp1,Campylocheta inepta,0.01,1.03
I4,Lochmaea suturalis,Asecodes mento,43,43
C5,Anarta myrtillis,Wagneria gagatea,2,2
C5,Noctuidae sp1,Hyposoter didymator,2,2.02
C5,Anarta myrtillis,Hyposoter didymator,0.01,2.02
C5,Lycophotia porphyrea,Hyposoter didymator,0.01,2.02
C5,Aristotelia ericinella,Diadegma armillata,3,4.02
C5,Neofaculta ericetella,Diadegma armillata,1,4.02
C5,Noctuidae sp1,Diadegma armillata,0.01,4.02
C5,Gymnoscelis rufifasciata,Diadegma armillata,0.01,4.02
C5,Eupithecia nanata,Cotesia errator,1,1
C5,Ematurga atomaria,Campylocheta inepta,1,2.03
C5,Anarta myrtillis,Campylocheta inepta,1,2.03
C5,Neofaculta ericetella,Campylocheta inepta,0.01,2.03
C5,Noctuidae sp1,Campylocheta inepta,0.01,2.03
C5,Eupithecia nanata,Campylocheta inepta,0.01,2.03
C5,Lochmaea suturalis,Asecodes mento,803,803
I2,Gymnoscelis rufifasciata,Diadegma armillata,1,1.01
I2,Lochmaea suturalis,Asecodes mento,21,21
I2,Neofaculta ericetella,Diadegma armillata,0.01,1.01
I1,Phragmatobia fuliginosa,Aleiodes alternator,1,1
I1,Lochmaea suturalis,Asecodes mento,273,273
I1,Anarta myrtillis,Barylypa propugnator,1,1
I1,Gymnoscelis rufifasciata,Campoletis sp.,1,1
I1,Neofaculta ericetella,Campoplex,1,1
I1,Neofaculta ericetella,Campylocheta inepta,2,2.04
I1,Anarta myrtillis,Campylocheta inepta,0.01,2.04
I1,Ematurga atomaria,Campylocheta inepta,0.01,2.04
I1,Noctuidae sp1,Campylocheta inepta,0.01,2.04
I1,Eupithecia nanata,Campylocheta inepta,0.01,2.04
I1,Neofaculta ericetella,Chorinaeus,1,1
I1,Eupithecia nanata,Cotesia errator,1,1
I1,Aristotelia ericinella,Diadegma armillata,1,1.03
I1,Neofaculta ericetella,Diadegma armillata,0.01,1.03
I1,Noctuidae sp1,Diadegma armillata,0.01,1.03
I1,Gymnoscelis rufifasciata,Diadegma armillata,0.01,1.03
I1,Lycophotia porphyrea,Hyposoter didymator,1,1.02
I1,Anarta myrtillis,Hyposoter didymator,0.01,1.02
I1,Noctuidae sp1,Hyposoter didymator,0.01,1.02
I1,Noctuidae sp1,Meloboris collector,1,1
I1,Noctuidae sp1,Meteorus pulchricornis,1,1.01
I1,Anarta myrtillis,Meteorus pulchricornis,0.01,1.01
